User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
warm,None,bge,2,0.14315352697095435,0.12171376161825896,0.69972533,2,True
warm,None,bge,4,0.1970954356846473,0.1472464702919808,0.68972754,2,True
warm,None,bge,6,0.22199170124481327,0.15643259964038095,0.683915,2,True
warm,None,bge,8,0.24481327800829875,0.16378029148858306,0.6792458,2,True
warm,None,bge,10,0.25933609958506226,0.16805280039369408,0.67632693,2,True
warm,None,bge,12,0.27593360995850624,0.17257420043076083,0.67406476,2,True
warm,None,bge,14,0.2966804979253112,0.17794006410090116,0.6716378,2,True
warm,None,bge,16,0.31742738589211617,0.18309349071159556,0.66917884,2,True
warm,None,bge,18,0.33195020746887965,0.1865488363679699,0.66757685,2,True
warm,None,bge,20,0.34439834024896265,0.18939829159848304,0.6658949,2,True
warm,None,bge,30,0.3817427385892116,0.19739388398436386,0.6585724,2,True
warm,None,bge,50,0.45850622406639,0.21155800222937873,0.64954317,2,True
warm,None,openai,2,0.14937759336099585,0.13712629887374134,0.6623989,2,True
warm,None,openai,4,0.19294605809128632,0.1577599346923869,0.6492891,2,True
warm,None,openai,6,0.2157676348547718,0.16639778535462837,0.6414906,2,True
warm,None,openai,8,0.23651452282157676,0.17309098575721693,0.63535863,2,True
warm,None,openai,10,0.25311203319502074,0.1779880382217968,0.6305926,2,True
warm,None,openai,12,0.27593360995850624,0.1842997768701183,0.6265992,2,True
warm,None,openai,14,0.2987551867219917,0.19019667378675212,0.6233479,2,True
warm,None,openai,16,0.3112033195020747,0.19329760852143726,0.62030256,2,True
warm,None,openai,18,0.3278008298755187,0.1972413544130121,0.6175423,2,True
warm,None,openai,20,0.34024896265560167,0.20009080964352524,0.61482537,2,True
warm,None,openai,30,0.38381742738589214,0.20941319996154986,0.6042809,2,True
warm,None,openai,50,0.4336099585062241,0.2186702447815421,0.58997315,2,True
warm,None,gemini,2,0.14315352697095435,0.1270737029564328,0.7596566,2,True
warm,None,gemini,4,0.18464730290456433,0.14681381894505055,0.75284195,2,True
warm,None,gemini,6,0.22821576763485477,0.16290544033593674,0.74851185,2,True
warm,None,gemini,8,0.25103734439834025,0.17025313218413884,0.7454559,2,True
warm,None,gemini,10,0.26556016597510373,0.17452564108924987,0.7431541,2,True
warm,None,gemini,12,0.2821576763485477,0.17904704112631661,0.7405759,2,True
warm,None,gemini,14,0.3070539419087137,0.18548885409074542,0.7390796,2,True
warm,None,gemini,16,0.3278008298755187,0.19063118224110412,0.7376224,2,True
warm,None,gemini,18,0.34439834024896265,0.1945932001376644,0.73604923,2,True
warm,None,gemini,20,0.35892116182572614,0.1979226931548161,0.7346277,2,True
warm,None,gemini,30,0.3921161825726141,0.20506282900391837,0.7288794,2,True
warm,None,gemini,50,0.46473029045643155,0.21864737409540086,0.72076696,2,True
warm,None,harrier,2,0.15767634854771784,0.13929940681683606,0.7188096,2,True
warm,None,harrier,4,0.1950207468879668,0.15667718487214838,0.7071666,2,True
warm,None,harrier,6,0.23651452282157676,0.17228410770161973,0.70117617,2,True
warm,None,harrier,8,0.26141078838174275,0.18047164842850186,0.69684684,2,True
warm,None,harrier,10,0.27385892116182575,0.18414443777693676,0.6929243,2,True
warm,None,harrier,12,0.2987551867219917,0.19101683649668433,0.68979555,2,True
warm,None,harrier,14,0.3132780082987552,0.19474795202343964,0.6874947,2,True
warm,None,harrier,16,0.3215767634854772,0.19678934543911325,0.68572813,2,True
warm,None,harrier,18,0.34439834024896265,0.20219829203628958,0.6842807,2,True
warm,None,harrier,20,0.36099585062240663,0.20600012996775027,0.68255717,2,True
warm,None,harrier,30,0.4149377593360996,0.21741513734040385,0.6761424,2,True
warm,None,harrier,50,0.46265560165975106,0.22630203486560074,0.6669986,2,True
warm,None,qwen,2,0.16390041493775934,0.14782059092323777,0.6526607,2,True
warm,None,qwen,4,0.21369294605809128,0.17199773364184145,0.63884884,2,True
warm,None,qwen,6,0.24688796680497926,0.184457839855521,0.63051915,2,True
warm,None,qwen,8,0.26348547717842324,0.1898420573668825,0.6234598,2,True
warm,None,qwen,10,0.27593360995850624,0.19353967071811012,0.61749357,2,True
warm,None,qwen,12,0.2966804979253112,0.19927268956217623,0.6130518,2,True
warm,None,qwen,14,0.3257261410788382,0.20681821742349665,0.6091532,2,True
warm,None,qwen,16,0.34647302904564314,0.21193834865318412,0.6053498,2,True
warm,None,qwen,18,0.3651452282157676,0.21637049477995948,0.60251147,2,True
warm,None,qwen,20,0.37136929460580914,0.21779522239521604,0.599581,2,True
warm,None,qwen,30,0.4087136929460581,0.22576106924940226,0.58856326,2,True
warm,None,qwen,50,0.4605809128630705,0.2354696001567529,0.5718024,2,True
cold,None,w2v,2,0.0,0.0,0.842395,2,True
cold,None,w2v,4,0.0,0.0,0.8422191,2,True
cold,None,w2v,6,0.0,0.0,0.8421515,2,True
cold,None,w2v,8,0.0,0.0,0.8420644,2,True
cold,None,w2v,10,0.0,0.0,0.84199774,2,True
cold,None,w2v,12,0.0,0.0,0.84185475,2,True
cold,None,w2v,14,0.0,0.0,0.84184986,2,True
cold,None,w2v,16,0.0,0.0,0.8416405,2,True
