Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
qwen,256,3,2,1e-05,True,10,0.036334913112164295,0.01896774503024935,0.83366674
qwen,256,3,2,1e-05,True,20,0.052132701421800945,0.02312938872401677,0.83345944
qwen,256,3,2,1e-05,False,10,0.023696682464454975,0.014089361829378703,0.38760722
qwen,256,3,2,1e-05,False,20,0.026856240126382307,0.014872569556674037,0.38924527
word2vec,256,3,3,0.0001,True,10,0.08688783570300158,0.041773596324292936,0.72832876
word2vec,256,3,3,0.0001,True,20,0.12480252764612954,0.05129073974302264,0.7323549
word2vec,256,3,3,0.0001,False,10,0.017377567140600316,0.010767225273038002,0.56437045
word2vec,256,3,3,0.0001,False,20,0.026856240126382307,0.013318499331501631,0.5694221
bert_multi,256,3,3,0.0001,True,10,0.04265402843601896,0.02108010801475832,0.8359678
bert_multi,256,3,3,0.0001,True,20,0.052132701421800945,0.02360471094986447,0.8346623
bert_multi,256,3,3,0.0001,False,10,0.009478672985781991,0.005613072223893545,0.83893895
bert_multi,256,3,3,0.0001,False,20,0.020537124802527645,0.008307249887082572,0.84925365
qwen,256,3,3,0.0001,True,10,0.03317535545023697,0.015786824055056502,0.8467802
qwen,256,3,3,0.0001,True,20,0.04265402843601896,0.01810778900332258,0.84644884
qwen,256,3,3,0.0001,False,10,0.018957345971563982,0.010406532667271425,0.3121718
qwen,256,3,3,0.0001,False,20,0.022116903633491312,0.011233694575279885,0.31796366
word2vec,256,3,3,1e-05,True,10,0.05529225908372828,0.02541831518493836,0.8771361
word2vec,256,3,3,1e-05,True,20,0.08214849921011058,0.031997595810878854,0.8755381
word2vec,256,3,3,1e-05,False,10,0.020537124802527645,0.012007139198959085,0.5780868
word2vec,256,3,3,1e-05,False,20,0.026856240126382307,0.013566420843435732,0.57466304
bert_multi,256,3,3,1e-05,True,10,0.03317535545023697,0.017289603228960657,0.76048005
bert_multi,256,3,3,1e-05,True,20,0.052132701421800945,0.021994856445560224,0.7597403
bert_multi,256,3,3,1e-05,False,10,0.0,0.0,0.7885789
bert_multi,256,3,3,1e-05,False,20,0.011058451816745656,0.0027601706959713298,0.7995995
qwen,256,3,3,1e-05,True,10,0.036334913112164295,0.02037812390796663,0.84086764
qwen,256,3,3,1e-05,True,20,0.04739336492890995,0.023162931428371388,0.8406588
qwen,256,3,3,1e-05,False,10,0.020537124802527645,0.015452366028493099,0.30634937
qwen,256,3,3,1e-05,False,20,0.030015797788309637,0.01790404634365773,0.31535846
word2vec,512,1,1,0.0001,True,10,0.044233807266982623,0.025337722429056183,0.864526
word2vec,512,1,1,0.0001,True,20,0.06477093206951026,0.030462401509973643,0.86409736
word2vec,512,1,1,0.0001,False,10,0.02843601895734597,0.01816957436860828,0.54122686
word2vec,512,1,1,0.0001,False,20,0.03475513428120063,0.019675496802286287,0.54930395
bert_multi,512,1,1,0.0001,True,10,0.04265402843601896,0.02273598357572101,0.8489539
bert_multi,512,1,1,0.0001,True,20,0.06951026856240126,0.029527381410458683,0.8483482
bert_multi,512,1,1,0.0001,False,10,0.02843601895734597,0.01978500432122142,0.7622097
bert_multi,512,1,1,0.0001,False,20,0.0315955766192733,0.020571589476236062,0.76581025
qwen,512,1,1,0.0001,True,10,0.045813586097946286,0.02778311428498965,0.8575633
qwen,512,1,1,0.0001,True,20,0.07266982622432859,0.034633039803123475,0.8571242
qwen,512,1,1,0.0001,False,10,0.05055292259083728,0.04073756544433257,0.41706064
qwen,512,1,1,0.0001,False,20,0.05687203791469194,0.04228485874854045,0.4138019
word2vec,512,1,1,1e-05,True,10,0.03949447077409163,0.024656208368322257,0.883857
word2vec,512,1,1,1e-05,True,20,0.05529225908372828,0.028621980886354488,0.8833916
word2vec,512,1,1,1e-05,False,10,0.018957345971563982,0.013394185546631339,0.70939535
word2vec,512,1,1,1e-05,False,20,0.03317535545023697,0.01696385461218717,0.711266
bert_multi,512,1,1,1e-05,True,10,0.045813586097946286,0.028910943061151006,0.7942792
bert_multi,512,1,1,1e-05,True,20,0.061611374407582936,0.03273585221161986,0.7934617
bert_multi,512,1,1,1e-05,False,10,0.03317535545023697,0.023152800545241346,0.8426454
bert_multi,512,1,1,1e-05,False,20,0.036334913112164295,0.023984074130134137,0.8433788
qwen,512,1,1,1e-05,True,10,0.04897314375987362,0.03094662537373074,0.8605639
qwen,512,1,1,1e-05,True,20,0.061611374407582936,0.03413291309279195,0.86054033
qwen,512,1,1,1e-05,False,10,0.05687203791469194,0.042094641327101875,0.36361435
qwen,512,1,1,1e-05,False,20,0.06635071090047394,0.04466284756916779,0.3641169
word2vec,512,1,2,0.0001,True,10,0.022116903633491312,0.010155231850014337,0.8748598
word2vec,512,1,2,0.0001,True,20,0.03949447077409163,0.014415623183103923,0.87467486
word2vec,512,1,2,0.0001,False,10,0.01579778830963665,0.011065472430388978,0.5459063
word2vec,512,1,2,0.0001,False,20,0.0315955766192733,0.014973053982318662,0.5507867
bert_multi,512,1,2,0.0001,True,10,0.04897314375987362,0.03174931088702325,0.84332246
